shoulder,thigh,leg,joint,abdomen,muscle,structure,room,physical fitness,arm,gym,girl,human leg,standing,active undergarment,weight training,undergarment,fashion accessory,leggings,tights,strength training,trunk,black hair,selfie,human body,exercise equipment,long hair,lingerie,footwear,model
0.8670766353607178,0.8756586909294128,0.8264920115470886,0.8752449750900269,0.7996116280555725,0,0,0,0,0.7610482573509216,0,0,0,0.8158086538314819,0,0,0,0,0,0,0,0.824483335018158,0,0,0,0,0,0,0,0
0,0.5038571357727051,0,0,0.5678409934043884,0.7802873253822327,0,0,0,0,0,0.7128202319145203,0,0,0,0,0.5273685455322266,0,0,0,0,0,0.7381927371025085,0,0,0,0.6056600213050842,0,0,0
0.7955367565155029,0.8031455278396606,0.7145496010780334,0.7557346224784851,0.8526709675788879,0.7557846307754517,0.7831484079360962,0,0,0.7071102857589722,0,0,0,0,0,0,0,0,0,0,0,0.7562329173088074,0.7240433096885681,0,0,0,0,0,0,0
0.8700804710388184,0,0.7876752018928528,0.8741331696510315,0,0.7551583051681519,0.8680844306945801,0,0,0,0.8054222464561462,0,0,0.9218767881393433,0,0,0,0.8058016896247864,0,0,0.7895103693008423,0,0,0,0,0.7605948448181152,0,0,0,0
0.8296663165092468,0.7356866002082825,0,0,0.6477186679840088,0.8144896030426025,0,0,0.6783308982849121,0.7450791597366333,0,0,0,0,0.8923032879829407,0,0.7024658918380737,0,0,0,0,0,0,0,0,0,0,0.7043185234069824,0,0
0,0.7882875800132751,0.7833898067474365,0.68745356798172,0,0.7583825588226318,0,0,0,0,0,0.7559115290641785,0,0,0.7425434589385986,0,0.9013028144836426,0,0,0,0,0,0.6876228451728821,0,0,0,0,0.9084599614143372,0,0.6702607274055481
0,0,0,0,0,0,0,0,0,0,0,0.7566301822662354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.6511400938034058,0,0.6227534413337708,0,0.6846478581428528,0,0,0,0,0,0.8083624243736267,0,0,0.6987918615341187,0,0.8244451284408569,0,0,0,0,0,0,0.8581687211990356,0,0,0,0.8787268400192261,0,0
0.8611491918563843,0.7564597725868225,0.8054654002189636,0.7467133402824402,0,0.741108775138855,0.8447482585906982,0.9007596969604492,0,0.7463401556015015,0,0,0,0.8368794322013855,0,0,0,0,0,0,0,0,0,0,0.7411763668060303,0,0,0,0,0
0,0.5821061134338379,0,0,0.6458045840263367,0.8177940845489502,0,0,0,0,0,0.5461940169334412,0,0,0,0,0,0,0,0,0,0,0.6810340881347656,0,0,0,0.6553067564964294,0,0,0.7800337076187134
0.8427051901817322,0.7378709316253662,0.6899939775466919,0.6136621236801147,0.6115033626556396,0.7484498023986816,0,0,0,0.7006966471672058,0,0.7514060735702515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6599388122558594,0,0,0
0.8479604125022888,0.6831892132759094,0.7508325576782227,0.7867423892021179,0.6277933716773987,0,0,0,0,0,0,0.6414589285850525,0,0,0,0,0,0,0.7149830460548401,0.7476946711540222,0,0,0,0,0,0,0,0,0,0
0.8408708572387695,0.8128678798675537,0.7946826815605164,0.8198075294494629,0,0,0.8100027441978455,0.8951326608657837,0.8634449243545532,0.789280354976654,0.8637850284576416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8611491918563843,0.7564598917961121,0.8054654002189636,0.7467134594917297,0,0.741108775138855,0.8447482585906982,0.9007596969604492,0,0.7463402152061462,0,0,0,0.8368794322013855,0,0,0,0,0,0,0,0,0,0,0.7411763668060303,0,0,0,0,0
0.8675106763839722,0.7189966440200806,0,0.7514050602912903,0.7917991876602173,0.843748927116394,0,0,0,0.7805911302566528,0,0,0,0,0,0,0,0,0,0,0,0.6897206902503967,0,0.8494528532028198,0,0,0,0,0,0
0.8167265057563782,0.7121754884719849,0,0.7849115133285522,0.7603087425231934,0.835142195224762,0,0,0.8263697028160095,0.7597498297691345,0,0,0,0,0.8857583999633789,0,0.834961473941803,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8700835108757019,0.8451910614967346,0,0.8392507433891296,0.865338146686554,0,0.897750973701477,0.890837550163269,0,0,0.9475113153457642,0,0.8671757578849792,0.8794776201248169,0,0.8999838829040527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.810036838054657,0.8279151916503906,0.8679236769676208,0.7655978202819824,0,0.680810809135437,0.8175845146179199,0,0,0.6938996911048889,0,0,0.7673569321632385,0,0,0,0,0,0,0,0,0,0,0,0.7411763668060303,0,0,0,0.9045485258102417,0
